raw,error,OtherCorporationName,CorporationName,CorporationNameOrganization,CorporationNameAndCompany,CorporationNameBranchType,CorporationNameBranchIdentifier,CorporationCommitteeType,CorporationLegalType,ShortForm,ProxyFor,AKA
CITY OF TAMPA,,,OF TAMPA,CITY,,,,,,,,
GOLDSTEIN & RUSSELL,,,GOLDSTEIN & RUSSELL,,,,,,,,,
POMONA COLLEGE,,,POMONA COLLEGE,,,,,,,,,
DOUGLAS ELLIMAN,,,DOUGLAS ELLIMAN,,,,,,,,,
NEW YORK LIFE INSURANCE COMPANY,,,NEW YORK LIFE INSURANCE,COMPANY,,,,,,,,
OIKOCREDIT USA,,,OIKOCREDIT USA,,,,,,,,,
AKIN GUMP STRAUSS HAUER & FELD LLP,,,AKIN GUMP STRAUSS HAUER & FELD,,,,,,LLP,,,
LEAPFROG,,,LEAPFROG,,,,,,,,,
BISCHOFF MARTINGAYLE,,,BISCHOFF MARTINGAYLE,,,,,,,,,
GLOBAL THERMOSTAT,,,GLOBAL THERMOSTAT,,,,,,,,,
BANK OF AMERICA MERRILL LYNCH,,,BANK OF AMERICA MERRILL LYNCH,,,,,,,,,
D. E. SHAW & CO.,,,D. E. SHAW,,& CO.,,,,,,,
SELECTNY,,,SELECTNY,,,,,,,,,
YOUNGS MARKET CO,,,YOUNGS MARKET,CO,,,,,,,,
MORGAN STANLEY,,,MORGAN STANLEY,,,,,,,,,
THE JBG COMPANIES,,,THE JBG,COMPANIES,,,,,,,,
SHEERR COMMUNICATIONS,,,SHEERR COMMUNICATIONS,,,,,,,,,
ASOLAR,,,ASOLAR,,,,,,,,,
PARKER POE ADAMS & BERNSTEIN,,,PARKER POE ADAMS & BERNSTEIN,,,,,,,,,
COLUMBIA UNIVERSITY,,,COLUMBIA,UNIVERSITY,,,,,,,,
MCALLEN STAINED GLASS,,,MCALLEN STAINED GLASS,,,,,,,,,
LAW OFFICES OF PAULA CANNY,,,OF PAULA CANNY,LAW OFFICES,,,,,,,,
MAESA,,,MAESA,,,,,,,,,
LAZARD LTD.,,,LAZARD,,,,,,LTD.,,,
WESTERN ALLIANCE BAN,,,WESTERN BAN,ALLIANCE,,,,,,,,
FACEBOOK,,,FACEBOOK,,,,,,,,,
MORGAN STANLEY,,,MORGAN STANLEY,,,,,,,,,
PHILO,,,PHILO,,,,,,,,,
U.S.-U.A.E. BUSINESS COUNCIL,,,U.S.-U.A.E. BUSINESS,COUNCIL,,,,,,,,
SOURCEROCK PARTNERS,,,SOURCEROCK,PARTNERS,,,,,,,,
OREGON HEALTH & SCIENCE UNIVERISITY,,,OREGON HEALTH & SCIENCE,UNIVERISITY,,,,,,,,
PARADIGM,,,PARADIGM,,,,,,,,,
SKADDEN,,,SKADDEN,,,,,,,,,
NEWMARK GRUBB KNIGHT FRANK,,,NEWMARK GRUBB KNIGHT FRANK,,,,,,,,,
JP MORGAN CHASE & CO.,,,JP MORGAN CHASE &,CO.,,,,,,,,
LAUGHLIN LEGAL,,,LAUGHLIN LEGAL,,,,,,,,,
PRESTIGE BUILDERS INC,,,PRESTIGE BUILDERS,,,,,,INC,,,
LUNA DENTAL,,,LUNA DENTAL,,,,,,,,,
PATHWAYS HOME HEALTH AND HOSPICE,,,PATHWAYS HOME HEALTH AND HOSPICE,,,,,,,,,
AETNA,,,AETNA,,,,,,,,,
DETROIT MEDICAL CENTER,,,DETROIT,MEDICAL CENTER,,,,,,,,
KAGAN,,,KAGAN,,,,,,,,,
HARVARD KENNEDY SCHOOL,,,HARVARD KENNEDY,SCHOOL,,,,,,,,
FAHR LLC,,,FAHR,,,,,,LLC,,,
KENSON VENTURES LLC,,,KENSON VENTURES,,,,,,LLC,,,
ARMED FORCE 2 WORK FORCE,,,ARMED FORCE 2 WORK FORCE,,,,,,,,,
THE RESMARK COMPANIES,,,THE RESMARK,COMPANIES,,,,,,,,
STARR COMPANIES,,,STARR,COMPANIES,,,,,,,,
U.S. IMMIGRATION FUND,,,U.S. IMMIGRATION,FUND,,,,,,,,
CP DIRECT,,,CP DIRECT,,,,,,,,,
ADVANTAGE TESTING,,,ADVANTAGE TESTING,,,,,,,,,
TEXAS HEALTH HUGULEY HOSPITAL,,,TEXAS HEALTH HUGULEY,HOSPITAL,,,,,,,,
YALE UNIVERSITY,,,YALE,UNIVERSITY,,,,,,,,
YALE UNIVERSITY,,,YALE,UNIVERSITY,,,,,,,,
GOODBEE & ASSOCIATES,,,GOODBEE,,& ASSOCIATES,,,,,,,
DLA PIPER LLP,,,DLA PIPER,,,,,,LLP,,,
XANTHUS PARTNERS,,,XANTHUS,PARTNERS,,,,,,,,
KANSAS CITY CHORALE,,,KANSAS CITY CHORALE,,,,,,,,,
MFM INTERIORS,,,MFM INTERIORS,,,,,,,,,
AURUM GROUP LLC,,,AURUM,GROUP,,,,,LLC,,,
EPIC PARTNERS,,,EPIC,PARTNERS,,,,,,,,
GENERAL ELECTRIC,,,GENERAL ELECTRIC,,,,,,,,,
PAUL,,,PAUL,,,,,,,,,
WILLIAMSWORKS,,,WILLIAMSWORKS,,,,,,,,,
NATIONAL DEFENSE UNIVERSITY,,,NATIONAL DEFENSE,UNIVERSITY,,,,,,,,
ROCKLAND COUNTY BOARD OF ELECTIONS,,,ROCKLAND COUNTY OF ELECTIONS,BOARD,,,,,,,,
GAILLARD MANAGEMENT CORPORATION,,,GAILLARD MANAGEMENT,CORPORATION,,,,,,,,
COLORADO STATE UNIVERSITY,,,COLORADO STATE,UNIVERSITY,,,,,,,,
CONCORDIA THEOLOGICAL SEMINARY,,,CONCORDIA THEOLOGICAL SEMINARY,,,,,,,,,
LISA PERRY STYLE,,,LISA PERRY STYLE,,,,,,,,,
SOUTH DAKOTA SCHOOL OF MINES,,,SOUTH DAKOTA OF MINES,SCHOOL,,,,,,,,
VALOR EQUITY PARTNERS,,,VALOR EQUITY,PARTNERS,,,,,,,,
HUGHES SOCOL RESNICK DYM,,,HUGHES SOCOL RESNICK DYM,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
RICHMAN DEVELOPMENT CORPORATION,,,RICHMAN,DEVELOPMENT CORPORATION,,,,,,,,
ROSEMONT CAPITAL,,,ROSEMONT CAPITAL,,,,,,,,,
SEGAL MCCAMBRIDGE SINGER & MAHONEY,,,SEGAL MCCAMBRIDGE SINGER & MAHONEY,,,,,,,,,
INTEL,,,INTEL,,,,,,,,,
HARNISCH FOUNDATION,,,HARNISCH,FOUNDATION,,,,,,,,
JAMES TRINER THEATRICALS,,,JAMES TRINER THEATRICALS,,,,,,,,,
DAVIS POLK & WARDWELL LLP,,,DAVIS POLK & WARDWELL,,,,,,LLP,,,
NEW BOSTON VENTURES,,,NEW BOSTON VENTURES,,,,,,,,,
CHARGEPOINT,,,CHARGEPOINT,,,,,,,,,
AVENUES,,,AVENUES,,,,,,,,,
FARO WORLD INC.,,,FARO WORLD,,,,,,INC.,,,
BAYLOR COLLEGE OF MEDICINE,,,BAYLOR OF MEDICINE,COLLEGE,,,,,,,,
E.C. WORLD TRADING CORP.,,,E.C. WORLD TRADING,CORP.,,,,,,,,
TONIO BURGOS ASSOCIATED,,,TONIO BURGOS,ASSOCIATED,,,,,,,,
WINROCK INTERNATIONAL,,,WINROCK,INTERNATIONAL,,,,,,,,
PACE PUBLIC RELATIONS,,,PACE PUBLIC RELATIONS,,,,,,,,,
NAB,,,NAB,,,,,,,,,
VANGUARD PROPERTIES,,,VANGUARD PROPERTIES,,,,,,,,,
MSC,,,MSC,,,,,,,,,
BUNKER INTERNATIONAL,,,BUNKER,INTERNATIONAL,,,,,,,,
HEWLETT PACKARD,,,HEWLETT PACKARD,,,,,,,,,
STATE OF NEW JERSEY,,,STATE OF NEW JERSEY,,,,,,,,,
PEREZ WILSON VAUGHN & FEASBY,,,PEREZ WILSON VAUGHN & FEASBY,,,,,,,,,
DLA PIPER LLP,,,DLA PIPER,,,,,,LLP,,,
UNITRANS INTERNATIONAL,,,UNITRANS,INTERNATIONAL,,,,,,,,
SIMON AND SCHUSTER,,,SIMON AND SCHUSTER,,,,,,,,,
MORGAN STANLEY,,,MORGAN STANLEY,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
M&M DISABILITY ADVOCATES,,,M & M DISABILITY ADVOCATES,,,,,,,,,
APPLE INC.,,,APPLE,,,,,,INC.,,,
BAIN & CO,,,BAIN,,& CO,,,,,,,
CENTENE CORPORATION,,,CENTENE,CORPORATION,,,,,,,,
CELUSTORE USA INC,,,CELUSTORE USA,,,,,,INC,,,
MARK LEWIS,,,MARK LEWIS,,,,,,,,,
ASPEN SKI COMPANY,,,ASPEN SKI,COMPANY,,,,,,,,
JOHNSON & LAWRENCE,,,JOHNSON & LAWRENCE,,,,,,,,,
CASE FOUNDATION,,,CASE,FOUNDATION,,,,,,,,
KILLERSPIN,,,KILLERSPIN,,,,,,,,,
ELLEN BERENSON ANTIQUES & FINE ARTS,,,ELLEN BERENSON ANTIQUES & FINE ARTS,,,,,,,,,
VETERAN'S SERVICE CORPORATION,,,VETERAN'S SERVICE,CORPORATION,,,,,,,,
CENTENE,,,CENTENE,,,,,,,,,
ACRO,,,ACRO,,,,,,,,,
ESHIP GLOBAL,,,ESHIP GLOBAL,,,,,,,,,
SOHA STUDIO AND GALLERY,,,SOHA STUDIO AND GALLERY,,,,,,,,,
A TECH CONSULTING,,,A TECH CONSULTING,,,,,,,,,
CONNECTION III ENTERTAINMENT CORP.,,,CONNECTION III ENTERTAINMENT,CORP.,,,,,,,,
CLEARWATER SPORTS & WELLNESS,,,CLEARWATER SPORTS & WELLNESS,,,,,,,,,
CITY OF BOSTON,,,OF BOSTON,CITY,,,,,,,,
CAPITOL SUPPLY,,,CAPITOL SUPPLY,,,,,,,,,
VERIZON,,,VERIZON,,,,,,,,,
CALVIN,,,CALVIN,,,,,,,,,
MODRALL SPERLING,,,MODRALL SPERLING,,,,,,,,,
YUMANITY THERAPEUTICS,,,YUMANITY THERAPEUTICS,,,,,,,,,
SOUTHERN ENVIRONMENTAL LAW CENTER,,,SOUTHERN ENVIRONMENTAL,LAW CENTER,,,,,,,,
COLORADO DREAM HOMES,,,COLORADO DREAM HOMES,,,,,,,,,
LCC INTERNATIONAL,,,LCC,INTERNATIONAL,,,,,,,,
WRIGHT STATE UNIVERSITY,,,WRIGHT STATE,UNIVERSITY,,,,,,,,
GENERAL DYNAMICS,,,GENERAL DYNAMICS,,,,,,,,,
BRIAN J. MCCARTHY INC.,,,BRIAN J. MCCARTHY,,,,,,INC.,,,
INDIANA UNIVERSITY,,,INDIANA UNIVERSITY,,,,,,,,,
U.S. DEPARTMENT OF STATE,,,U.S. DEPARTMENT OF STATE,,,,,,,,,
HOLLAND AMERICA LINE,,,HOLLAND AMERICA LINE,,,,,,,,,
HOGAN LOVELLS LLP,,,HOGAN LOVELLS,,,,,,LLP,,,
PEOPLE POWER,,,PEOPLE POWER,,,,,,,,,
MINTZ LEVIN COHN FERRIS GLOVSKY AND PO,,,MINTZ LEVIN COHN FERRIS GLOVSKY AND PO,,,,,,,,,
NIKE,,,NIKE,,,,,,,,,
ESOPUS FOUNDATION LTD.,,,ESOPUS FOUNDATION,,,,,,LTD.,,,
SEIKO,,,SEIKO,,,,,,,,,
SEGOVIA,,,SEGOVIA,,,,,,,,,
ICONIC ENTERTAINMENT STUDIOS,,,ICONIC ENTERTAINMENT STUDIOS,,,,,,,,,
CSO ARCHITECTS,,,CSO ARCHITECTS,,,,,,,,,
WARE DISPOSAL,,,WARE DISPOSAL,,,,,,,,,
GREYSTON FOUNDATION,,,GREYSTON,FOUNDATION,,,,,,,,
LEIDOS CORP.,,,LEIDOS,CORP.,,,,,,,,
SALESFORCE.COM,,,SALESFORCE.COM,,,,,,,,,
GF PARISH GROUP,,,GF PARISH,GROUP,,,,,,,,
LONDON NAUTICAL SCHOOL,,,LONDON,NAUTICAL SCHOOL,,,,,,,,
QUINN EMANUEL URQUHART & SULLIVAN,,,QUINN EMANUEL URQUHART & SULLIVAN,,,,,,,,,
ALABAMA POWER COMPANY,,,ALABAMA POWER,COMPANY,,,,,,,,
STATE OF CONNECTICUT,,,STATE OF CONNECTICUT,,,,,,,,,
FRIEDMAN PROPERTIES,,,FRIEDMAN PROPERTIES,,,,,,,,,
LIONTREE LLC,,,LIONTREE,,,,,,LLC,,,
PALADIN CAPITAL GROUP,,,PALADIN CAPITAL,GROUP,,,,,,,,
KCM,,,,,,,,,,KCM,,
THREE OAKS INVESTMENTS LLC,,,THREE OAKS INVESTMENTS,,,,,,LLC,,,
CARE2,,,CARE2,,,,,,,,,
VANDERBILT UNIVERSITY,,,VANDERBILT UNIVERSITY,,,,,,,,,
PRADOMAES INC.,,,PRADOMAES,,,,,,INC.,,,
PROCTER & GAMBLE,,,PROCTER & GAMBLE,,,,,,,,,
KIEVE LAW OFFICES,,,KIEVE,LAW OFFICES,,,,,,,,
QUAMMEN HEALTHCARE CONSULTANTS,,,QUAMMEN HEALTHCARE CONSULTANTS,,,,,,,,,
BENTELER AUTOMOTIVE,,,BENTELER AUTOMOTIVE,,,,,,,,,
MAINETTI MAINETTI O'CONNOR,,,MAINETTI MAINETTI O'CONNOR,,,,,,,,,
BERDELLA INC.,,,BERDELLA,,,,,,INC.,,,
PENNONI ASSOCIATES,,,PENNONI,ASSOCIATES,,,,,,,,
MANCHESTER CAPITAL LLC,,,MANCHESTER CAPITAL,,,,,,LLC,,,
SHERMAN & HOWARD LLC,,,SHERMAN & HOWARD,,,,,,LLC,,,
CADUCEUS OCCUPATIONAL MEDICINE,,,CADUCEUS OCCUPATIONAL MEDICINE,,,,,,,,,
DISNEY THEATRICAL,,,DISNEY THEATRICAL,,,,,,,,,
FREEDOMROADS,,,FREEDOMROADS,,,,,,,,,
SESAME STREET WORKSHOP,,,SESAME STREET WORKSHOP,,,,,,,,,
GRANITE ASAP,,,GRANITE ASAP,,,,,,,,,
FRANKLIN,,,FRANKLIN,,,,,,,,,
CERTILMAN BALIN ADLER & HYMAN,,,CERTILMAN BALIN ADLER & HYMAN,,,,,,,,,
US ARMY,,,US ARMY,,,,,,,,,
MEDOLIFE CORP,,,MEDOLIFE,CORP,,,,,,,,
K & L GATES LLP,,,K & L GATES LLP,,,,,,,,,
PARTHER IRELL & MANELLA LLP,,,PARTHER IRELL & MANELLA,,,,,,LLP,,,
THE LAW OFFICE OF DANIEL D. HOROWITZ,,,THE OF DANIEL D. HOROWITZ,LAW OFFICE,,,,,,,,
THE COLLEGIATE WAREN,,,THE COLLEGIATE WAREN,,,,,,,,,
BAINCO,,,BAINCO,,,,,,,,,
MORGAN STANLEY,,,MORGAN STANLEY,,,,,,,,,
BOUNDARY STONE PARTNERS,,,BOUNDARY STONE,PARTNERS,,,,,,,,
WILLENBORG PRODUCTIONS,,,WILLENBORG PRODUCTIONS,,,,,,,,,
SHILEPSKY HARTLEY MICHON ROBB LLP,,,SHILEPSKY HARTLEY MICHON ROBB,,,,,,LLP,,,
MILBANK,,,MILBANK,,,,,,,,,
LEADING PHARMA,,,LEADING PHARMA,,,,,,,,,
JASPER RIDGE PARTNERS,,,JASPER RIDGE,PARTNERS,,,,,,,,
HILL HOLLIDAY,,,HILL HOLLIDAY,,,,,,,,,
UC BERKELEY,,,UC BERKELEY,,,,,,,,,
LINKEDIN,,,LINKEDIN,,,,,,,,,
GLOBAL BRANDS GROUP,,,GLOBAL BRANDS,GROUP,,,,,,,,
THE COCA-COLA COMPANY,,,THE COCA-COLA,COMPANY,,,,,,,,
VERTICAL SOURCE,,,VERTICAL SOURCE,,,,,,,,,
LOCKHEED MARTIN CORPORATION,,,LOCKHEED MARTIN,CORPORATION,,,,,,,,
IVALDI CAPITAL LLP,,,IVALDI CAPITAL,,,,,,LLP,,,
KB PRODUCTIONS,,,KB PRODUCTIONS,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
21ST CENTURY ONCOLOGY,,,21ST,CENTURY ONCOLOGY,,,,,,,,
VETERANS ADMINISTRATION,,,VETERANS ADMINISTRATION,,,,,,,,,
WILLIAM RAVEIS REAL ESTATE,,,WILLIAM RAVEIS REAL ESTATE,,,,,,,,,
DOUGLASTON DEVELOPMENT,,,DOUGLASTON,DEVELOPMENT,,,,,,,,
WILMERHALE,,,WILMERHALE,,,,,,,,,
XI'AN RESTAURANT,,,XI'AN RESTAURANT,,,,,,,,,
NICKELODEON,,,NICKELODEON,,,,,,,,,
NATIONAL AMERICAN UNIVERSITY,,,NATIONAL AMERICAN UNIVERSITY,,,,,,,,,
PACE GALLERY,,,PACE GALLERY,,,,,,,,,
BECTON,,,BECTON,,,,,,,,,
TIME WARNER INC.,,,TIME WARNER,,,,,,INC.,,,
BRYAN CAVE LLP,,,BRYAN CAVE LLP,,,,,,,,,
ROTHSCHILD CAPITAL PARTNER,,,ROTHSCHILD CAPITAL,PARTNER,,,,,,,,
COATS NORTH AMERICA,,,COATS NORTH AMERICA,,,,,,,,,
AKSIA,,,AKSIA,,,,,,,,,
IMAGO CENTER DC,,,IMAGO CENTER DC,,,,,,,,,
THE YUCAIPA COMPANIES,,,THE YUCAIPA,COMPANIES,,,,,,,,
ENT ASSOCIATES OF GREATER KANSAS CITY,,,ENT OF GREATER KANSAS,ASSOCIATES CITY,,,,,,,,
DIRECTV,,,DIRECTV,,,,,,,,,
BARUCH COLLEGE,,,BARUCH COLLEGE,,,,,,,,,
SIMPSON THACHER & BARTLETT,,,SIMPSON THACHER & BARTLETT,,,,,,,,,
YALE SCHOOL OF MEDICINE,,,YALE OF MEDICINE,SCHOOL,,,,,,,,
HABITAT REAL ESTATE,,,HABITAT REAL ESTATE,,,,,,,,,
CREATIVE ARTISTS AGENCY,,,CREATIVE ARTISTS,AGENCY,,,,,,,,
SULLIVAN & CROMWELL LLP,,,SULLIVAN & CROMWELL,,,,,,LLP,,,
WILLKIE FARR & GALLAGHER LLP,,,WILLKIE FARR & GALLAGHER,,,,,,LLP,,,
GREEN OWL CAPITAL MANAGEMENT,,,GREEN OWL CAPITAL MANAGEMENT,,,,,,,,,
PEARSON EDUCATION,,,PEARSON EDUCATION,,,,,,,,,
DAVIS POLK & WARDWELL LLP,,,DAVIS POLK & WARDWELL,,,,,,LLP,,,
HILLARY FOR AMERICA,,,HILLARY FOR AMERICA,,,,,,,,,
DAVIS WRIGHT TREMAINE,,,DAVIS WRIGHT TREMAINE,,,,,,,,,
NELSON OWYOUNG,,,NELSON OWYOUNG,,,,,,,,,
LINKEDIN,,,LINKEDIN,,,,,,,,,
COHEN TAUBER SPIEVACK & WAGNER,,,COHEN TAUBER SPIEVACK & WAGNER,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
BROWN RUDNICK LLP,,,BROWN RUDNICK,,,,,,LLP,,,
HUAXIA INTERNATIONAL ACADEMY,,,HUAXIA,INTERNATIONAL ACADEMY,,,,,,,,
FOREST CITY RATNER COMPANIES,,,FOREST CITY RATNER,COMPANIES,,,,,,,,
VINSON & ELKINS LLP,,,VINSON & ELKINS,,,,,,LLP,,,
ETA ARCHITECTURE,,,ETA ARCHITECTURE,,,,,,,,,
BOSTON COMMON ASSET MANAGEMENT,,,BOSTON COMMON ASSET MANAGEMENT,,,,,,,,,
SHEAR UNITY SALON AND SPA,,,SHEAR UNITY SALON AND SPA,,,,,,,,,
K&L GATES LLP,,,K & L GATES LLP,,,,,,,,,
NUANCE COMMUNICATIONS,,,NUANCE COMMUNICATIONS,,,,,,,,,
KSI LEADERSHIP AND MANAGEMENT DEVELOPM,,,KSI LEADERSHIP AND MANAGEMENT,DEVELOPM,,,,,,,,
ROBERT WHITE ASSOCIATES,,,ROBERT WHITE,ASSOCIATES,,,,,,,,
THE NIRU GROUP,,,THE NIRU,GROUP,,,,,,,,
SPOTLIGHT EQUITY PARTNERS,,,SPOTLIGHT EQUITY,PARTNERS,,,,,,,,
SMITHSONIAN INSTITUTION,,,SMITHSONIAN INSTITUTION,,,,,,,,,
MUNGER TOLLES & OLSON LLP,,,MUNGER TOLLES & OLSON,,,,,,LLP,,,
BRADFORD PARGHEL,,,BRADFORD PARGHEL,,,,,,,,,
CSIS,,,CSIS,,,,,,,,,
NEWMARK GRUBB KNIGHT FRANK,,,NEWMARK GRUBB KNIGHT FRANK,,,,,,,,,
CMS INTERNATIONAL GROUP,,,CMS,INTERNATIONAL GROUP,,,,,,,,
THE CHILDREN HOSPITAL OF PHILADELPHIA,,,THE CHILDREN OF PHILADELPHIA,HOSPITAL,,,,,,,,
MICROSOFT CORPORATION,,,MICROSOFT,CORPORATION,,,,,,,,
RWSG,,,,,,,,,,RWSG,,
CAMBERVIEW,,,CAMBERVIEW,,,,,,,,,
NIKE,,,NIKE,,,,,,,,,
STANLEY LAW GROUP,,,STANLEY LAW,GROUP,,,,,,,,
THE TOPOL GROUP LLC,,,THE TOPOL,GROUP,,,,,LLC,,,
CALIFORNIA STATE UNIVERSITY LONG BEACH,,,CALIFORNIA STATE UNIVERSITY LONG BEACH,,,,,,,,,
UNITED CENTURY LLC,,,UNITED CENTURY,,,,,,LLC,,,
CARO PROPERTIES,,,CARO PROPERTIES,,,,,,,,,
WELLS FARGO,,,WELLS FARGO,,,,,,,,,
KRAMER LEVIN NAFTALIS & FRANKEL LLP,,,KRAMER LEVIN NAFTALIS & FRANKEL,,,,,,LLP,,,
ASSOCIATED RIGHT OF WAY SERVICES,,,ASSOCIATED RIGHT OF WAY SERVICES,,,,,,,,,
VERIZON COMMUNICATIONS,,,VERIZON COMMUNICATIONS,,,,,,,,,
LECLAIRRYAN,,,LECLAIRRYAN,,,,,,,,,
UNIVERSITY OF CALIFORNIA,,,OF CALIFORNIA,UNIVERSITY,,,,,,,,
UNTHSC,,,UNTHSC,,,,,,,,,
MAGNETAR FINANCIAL,,,MAGNETAR FINANCIAL,,,,,,,,,
COASTAL CONSTRUCTION,,,COASTAL CONSTRUCTION,,,,,,,,,
GE CAPITAL,,,GE CAPITAL,,,,,,,,,
THE CARLYLE GROUP,,,THE CARLYLE,GROUP,,,,,,,,
PAUL,,,PAUL,,,,,,,,,
TORKIAN GROUP,,,TORKIAN,GROUP,,,,,,,,
CRYSTAL WINDOWS,,,CRYSTAL WINDOWS,,,,,,,,,
DEPARTMENT OF STATE,,,OF STATE,DEPARTMENT,,,,,,,,
JACOBSEN LAW OFFICE,,,JACOBSEN,LAW OFFICE,,,,,,,,
STONETURN GROUP LLP,,,STONETURN,GROUP,,,,,LLP,,,
UNITED STATES SENATE,,,UNITED STATES SENATE,,,,,,,,,
LEVICK,,,LEVICK,,,,,,,,,
GREY WOLF VENTURES,,,GREY WOLF VENTURES,,,,,,,,,
MIRMAN SCHOOL,,,MIRMAN SCHOOL,,,,,,,,,
BARTLIT BECK HERMAN,,,BARTLIT BECK HERMAN,,,,,,,,,
BOIES,,,BOIES,,,,,,,,,
WEISSMAN,,,WEISSMAN,,,,,,,,,
CEDARS-SINAI MEDICAL CENTER,,,CEDARS-SINAI,MEDICAL CENTER,,,,,,,,
MESA GLOBAL,,,MESA GLOBAL,,,,,,,,,
TEACHERS COLLEGE,,,TEACHERS,COLLEGE,,,,,,,,
PHOENIX NETWORK LLC,,,PHOENIX NETWORK,,,,,,LLC,,,
AKIN GUMP STRAUSS HAUER & FELD LLP,,,AKIN GUMP STRAUSS HAUER & FELD,,,,,,LLP,,,
BURRIS & SCHOENBERG,,,BURRIS & SCHOENBERG,,,,,,,,,
WILMERHALE,,,WILMERHALE,,,,,,,,,
UNIVERSITY OF NEW MEXICO,,,OF NEW MEXICO,UNIVERSITY,,,,,,,,
TERRA ALPHA INVESTMENTS LLC,,,TERRA ALPHA INVESTMENTS,,,,,,LLC,,,
SPECIALTY COMMODITIES,,,SPECIALTY,COMMODITIES,,,,,,,,
TRIATHALON INVESTMENT MANAGEMENT,,,TRIATHALON INVESTMENT MANAGEMENT,,,,,,,,,
WORK AT HOME VINTAGE EMPLOYEES LLC,,,WORK AT HOME VINTAGE EMPLOYEES,,,,,,LLC,,,
ASSOCIATION OF AMERICAN COLLEGES AND U,,,OF AMERICAN COLLEGES AND U,ASSOCIATION,,,,,,,,
NATURAL FOOD SOURCE,,,NATURAL FOOD SOURCE,,,,,,,,,
SC GENERAL AGENCY,,,SC GENERAL,AGENCY,,,,,,,,
CUDDY & FEDER,,,CUDDY & FEDER,,,,,,,,,
LATHAM & WATKINS LLP,,,LATHAM & WATKINS,,,,,,LLP,,,
CLINTON FOUNDATION,,,CLINTON FOUNDATION,,,,,,,,,
GREENBERG TRAURIG,,,GREENBERG TRAURIG,,,,,,,,,
EBD III PRODUCTIONS,,,EBD III PRODUCTIONS,,,,,,,,,
UPS,,,UPS,,,,,,,,,
PATTERSON PLANNING INCORPORATED,,,PATTERSON PLANNING,,,,,,INCORPORATED,,,
KILAM INC.,,,KILAM,,,,,,INC.,,,
K&L GATES LLP,,,K & L GATES LLP,,,,,,,,,
WORKPLACE RELATIONSHIPS,,,WORKPLACE RELATIONSHIPS,,,,,,,,,
ANTHEM,,,ANTHEM,,,,,,,,,
COCA-COLA,,,COCA-COLA,,,,,,,,,
CADWALADER,,,CADWALADER,,,,,,,,,
FINANCIAL INNOVATIONS,,,FINANCIAL INNOVATIONS,,,,,,,,,
WASHINGTON FINE PROPERTIES,,,WASHINGTON FINE PROPERTIES,,,,,,,,,
CAA,,,CAA,,,,,,,,,
WILLIAMSMCCALL GALLERY,,,WILLIAMSMCCALL GALLERY,,,,,,,,,
ENLACE COMUNITARIO,,,ENLACE COMUNITARIO,,,,,,,,,
CARELLA BYRNE,,,CARELLA BYRNE,,,,,,,,,
MILLENNIUM HEALTH,,,MILLENNIUM HEALTH,,,,,,,,,
STATE OF TEXAS,,,STATE OF TEXAS,,,,,,,,,
COLLINS,,,COLLINS,,,,,,,,,
YALE UNIVERSITY,,,YALE,UNIVERSITY,,,,,,,,
VALOR EQUITY PARTNERS,,,VALOR EQUITY,PARTNERS,,,,,,,,
UNITED STATES ARMY,,,UNITED STATES ARMY,,,,,,,,,
ALLENSWOOD GROUP,,,ALLENSWOOD,GROUP,,,,,,,,
LACKS VALLEY FURNITURE,,,LACKS VALLEY FURNITURE,,,,,,,,,
CLINTON MANAGEMENT,,,CLINTON MANAGEMENT,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
FRONTERA CONSULTING,,,FRONTERA CONSULTING,,,,,,,,,
E S SUTTON SALES CORPORATION,,,E S SUTTON SALES,CORPORATION,,,,,,,,
HOME HEALTH CARE SOLUTIONS,,,HOME HEALTH CARE SOLUTIONS,,,,,,,,,
FOX NEWS,,,FOX NEWS,,,,,,,,,
ESTEE LAUDER,,,ESTEE LAUDER,,,,,,,,,
VANGUARD PROPERTIES,,,VANGUARD PROPERTIES,,,,,,,,,
TEMPOIQ INC,,,TEMPOIQ,,,,,,INC,,,
CREATIVE ARTISTS AGENCY,,,CREATIVE ARTISTS,AGENCY,,,,,,,,
CITY OF PROVIDENCE,,,OF PROVIDENCE,CITY,,,,,,,,
CREATIVE ARTISTS AGENCY,,,CREATIVE ARTISTS,AGENCY,,,,,,,,
WILSON SONSINI GOODRICH & ROSATI,,,WILSON SONSINI GOODRICH & ROSATI,,,,,,,,,
MICROSOFT,,,MICROSOFT,,,,,,,,,
MASIMO CORPORATION,,,MASIMO,CORPORATION,,,,,,,,
UNIVERSITY OF PITTSBURGH,,,OF PITTSBURGH,UNIVERSITY,,,,,,,,
YALE NEW HAVEN HOSPITAL,,,YALE NEW HAVEN,HOSPITAL,,,,,,,,
CG CONSULTING GROUP,,,CG CONSULTING,GROUP,,,,,,,,
JARDIN JEWELRY,,,JARDIN JEWELRY,,,,,,,,,
